IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.217.149.28,2087,true,HKG,Asia Pacific,Hong Kong,61 ms,25154 kB/s
8.217.149.28,2053,true,HKG,Asia Pacific,Hong Kong,62 ms,23865 kB/s
8.217.149.28,8443,true,HKG,Asia Pacific,Hong Kong,61 ms,23747 kB/s
47.76.33.40,2053,true,HKG,Asia Pacific,Hong Kong,63 ms,23345 kB/s
8.217.149.28,2096,true,HKG,Asia Pacific,Hong Kong,61 ms,21934 kB/s
8.218.8.142,2083,true,HKG,Asia Pacific,Hong Kong,55 ms,21933 kB/s
8.218.188.129,2083,true,HKG,Asia Pacific,Hong Kong,63 ms,21450 kB/s
195.245.242.232,53942,true,HKG,Asia Pacific,Hong Kong,83 ms,20529 kB/s
8.218.188.129,8443,true,HKG,Asia Pacific,Hong Kong,69 ms,19857 kB/s
8.218.188.129,2096,true,HKG,Asia Pacific,Hong Kong,66 ms,19541 kB/s
8.218.188.129,2087,true,HKG,Asia Pacific,Hong Kong,70 ms,18695 kB/s
118.163.128.81,17333,true,KHH,Asia Pacific,Kaohsiung City,84 ms,18461 kB/s
114.214.202.60,8443,true,HKG,Asia Pacific,Hong Kong,127 ms,15103 kB/s
8.218.188.129,443,true,HKG,Asia Pacific,Hong Kong,60 ms,12882 kB/s
154.197.121.127,443,true,SJC,North America,San Jose,186 ms,12796 kB/s
217.163.76.59,443,true,SJC,North America,San Jose,170 ms,12463 kB/s
45.66.128.216,2001,true,KIX,Asia Pacific,Osaka,85 ms,11342 kB/s
66.42.103.115,6969,true,LAX,North America,Los Angeles,188 ms,11016 kB/s
217.163.76.75,443,true,SJC,North America,San Jose,170 ms,10775 kB/s
168.100.6.26,443,true,SJC,North America,San Jose,174 ms,10361 kB/s
47.236.170.54,2053,true,SIN,Asia Pacific,Singapore,225 ms,9289 kB/s
8.222.248.188,2053,true,SIN,Asia Pacific,Singapore,229 ms,9264 kB/s
8.219.98.13,2053,true,SIN,Asia Pacific,Singapore,218 ms,9100 kB/s
8.219.213.84,2083,true,SIN,Asia Pacific,Singapore,216 ms,9094 kB/s
47.236.7.206,2087,true,SIN,Asia Pacific,Singapore,219 ms,9094 kB/s
8.219.213.133,2083,true,SIN,Asia Pacific,Singapore,235 ms,9028 kB/s
58.123.132.16,10327,true,ICN,Asia Pacific,Seoul,95 ms,9019 kB/s
8.222.159.252,8443,true,SIN,Asia Pacific,Singapore,230 ms,8967 kB/s
47.236.169.236,8443,true,SIN,Asia Pacific,Singapore,234 ms,8950 kB/s
154.17.2.49,26558,true,LAX,North America,Los Angeles,172 ms,8894 kB/s
8.219.147.58,2053,true,SIN,Asia Pacific,Singapore,231 ms,8868 kB/s
219.240.54.189,10434,true,ICN,Asia Pacific,Seoul,71 ms,8851 kB/s
58.234.19.225,30111,true,ICN,Asia Pacific,Seoul,73 ms,8790 kB/s
8.222.137.178,2053,true,SIN,Asia Pacific,Singapore,235 ms,8782 kB/s
8.219.100.168,2096,true,SIN,Asia Pacific,Singapore,232 ms,8778 kB/s
47.236.114.23,2053,true,SIN,Asia Pacific,Singapore,237 ms,8770 kB/s
8.222.129.245,2083,true,SIN,Asia Pacific,Singapore,229 ms,8747 kB/s
8.222.130.137,2083,true,SIN,Asia Pacific,Singapore,226 ms,8719 kB/s
8.222.208.38,2083,true,SIN,Asia Pacific,Singapore,220 ms,8654 kB/s
8.222.160.61,2096,true,SIN,Asia Pacific,Singapore,226 ms,8623 kB/s
8.222.168.24,2053,true,SIN,Asia Pacific,Singapore,229 ms,8595 kB/s
47.236.130.95,2053,true,SIN,Asia Pacific,Singapore,234 ms,8587 kB/s
8.222.227.191,2083,true,SIN,Asia Pacific,Singapore,235 ms,8580 kB/s
8.222.224.162,2083,true,SIN,Asia Pacific,Singapore,233 ms,8562 kB/s
